1193	A.T. Still University	Kirksville ...
497	Abilene Christian University	Abilene
1407	Abraham Baldwin Agricultural College	Tifton
410	Academy of Art University	San Francisco
1141	Adams State University	Alamosa
393	Adelphi University	Garden City
1513	Adler Graduate School	Richfield
1324	Adler University	Chicago ...
947	Adrian College	Adrian
1260	AdventHealth University	Orlando
520	Agnes Scott College	Decatur
1499	Air Force Institute of Technology	Wright-Patterson AFB
1048	Alabama A&M University	Normal
1100	Alabama State University	Montgomery
1655	Alaska Bible College	Palmer
1255	Alaska Pacific University	Anchorage
1667	Albany College of Pharmacy and Health Sciences	Albany
1336	Albany Law School	Albany
1185	Albany Medical College	Albany
1028	Albany State University	Albany
1138	Albertus Magnus College	New Haven
508	Albion College	Albion
849	Albright College	Reading
1421	Alcorn State University	Lorman
1463	Alderson Broaddus University	Philippi
1071	Alfred State College	Alfred
531	Alfred University	Alfred
1136	Alice Lloyd College	Pippa Passes
585	Allegheny College	Meadville
1660	Allen College	Waterloo
1567	Allen University	Columbia
891	Alliant International University	San Diego ...
876	Alma College	Alma
743	Alvernia University	Reading
838	Alverno College	Milwaukee
1479	Amberton University	Garland
1756	American Baptist College	Nashville
1518	American Film Institute Conservatory	Los Angeles
1054	American International College	Springfield
1413	American Jewish University	Los Angeles ...
117	American University	Washington
265	Amherst College	Amherst
1412	Anderson University	Anderson
784	Anderson University, Indiana	Anderson ...
377	Andrews University	Berrien Springs
526	Angelo State University	San Angelo
1311	Anna Maria College	Paxton
606	Antioch University	Yellow Springs ...
Un	Antioch University Los Angeles	Culver City
Un	Antioch University New England	Keene
Un	Antioch University Santa Barbara	Santa Barbara
Un	Antioch University Seattle	Seattle
1609	Appalachian Bible College	Mount Hope
1604	Appalachian College of Pharmacy	Oakwood
197	Appalachian State University	Boone
645	Aquinas College	Grand Rapids
1624	Aquinas College, Tennessee	Nashville
607	Arcadia University	Glenside
1569	Arizona Christian University	Phoenix
24	Arizona State University	Tempe ...
1622	Arkansas Baptist College	Little Rock
450	Arkansas State University	Jonesboro
588	Arkansas Tech University	Russellville
1718	Arlington Baptist University	Arlington
1505	Art Academy of Cincinnati	Cincinnati
424	ArtCenter College of Design	Pasadena
1204	Asbury University	Wilmore
474	Ashland University	Ashland
721	Assumption College	Worcester
972	Athens State University	Athens
1592	Atlanta Metropolitan State College	Atlanta
128	Auburn University	Auburn
955	Auburn University at Montgomery	Montgomery
448	Augsburg College	Minneapolis
328	Augusta University	Augusta
522	Augustana College	Rock Island
1018	Augustana University	Sioux Falls
1004	Aurora University	Aurora ...
803	Austin College	Sherman
592	Austin Peay State University	Clarksville
1010	Ave Maria University	Ave Maria
1386	Averett University	Danville ...
1077	Avila University	Kansas City
402	Azusa Pacific University	Azusa
230	Babson College	Babson Park
1256	Bacone College	Muskogee
595	Baker College	Flint ...
830	Baker University	Baldwin City
744	Baldwin Wallace University	Berea
236	Ball State University	Muncie
942	Bank Street College of Education	New York City
1743	Baptist Bible College	Springfield
1616	Baptist Memorial College of Health Sciences	Memphis
1695	Baptist University of the Americas	San Antonio
1590	Barclay College	Haviland
252	Bard College	Annandale-on-Hudson
1079	Bard College at Simon's Rock	Great Barrington
460	Barnard College	New York City
1671	Barnes-Jewish College Goldfarb School of Nursing	St. Louis
629	Barry University	Miami ...
981	Barton College	Wilson
1269	Baruch College, CUNY	New York City
817	Bastyr University	Kenmore
306	Bates College	Lewiston
1334	Bay Path University	Longmeadow
1013	Bay State College	Boston ...
268	Baylor College of Medicine	Houston
119	Baylor University	Waco
1419	Beacon College	Leesburg
850	Becker College	Worcester ...
797	Belhaven University	Jackson
678	Bellarmine University	Louisville
483	Bellevue College	Bellevue
505	Bellevue University	Bellevue ...
1724	Bellin College	Green Bay
1151	Belmont Abbey College	Belmont
457	Belmont University	Nashville
506	Beloit College	Beloit
957	Bemidji State University	Bemidji
1491	Benedict College	Columbia
829	Benedictine College	Atchison
900	Benedictine University	Lisle
1597	Benjamin Franklin Institute of Technology	Boston
997	Bennett College	Greensboro
632	Bennington College	Bennington
361	Bentley University	Waltham
540	Berea College	Berea
780	Berkeley College	New York City ...
201	Berklee College of Music	Boston
601	Berry College	Mount Berry
1105	Bethany College	Bethany
1201	Bethany College, Kansas	Lindsborg
1408	Bethany Lutheran College	Mankato
1240	Bethel College	North Newton
909	Bethel University	Mishawaka
1705	Bethel University	St. Paul ...
1183	Bethel University, Tennessee	McKenzie
1766	Bethesda University	Anaheim
1298	Bethune-Cookman University	Daytona Beach
1711	Beulah Heights University	Atlanta
150	Binghamton University, State University of New York	Vestal
311	Biola University	La Mirada
1199	Birmingham-Southern College	Birmingham
1110	Bismarck State College	Bismarck
1085	Black Hills State University	Spearfish
1126	Blackburn College	Carlinville
1720	Blessing-Rieman College of Nursing	Quincy
934	Bloomfield College	Bloomfield
465	Bloomsburg University of Pennsylvania	Bloomsburg
1600	Blue Mountain College	Blue Mountain
1078	Bluefield College	Bluefield
1515	Bluefield State College	Bluefield
765	Bluffton University	Bluffton
901	Bob Jones University	Greenville
1682	Boise Bible College	Boise ...
207	Boise State University	Boise
1688	Boricua College	New York City
962	Boston Architectural College	Boston
101	Boston College	Chestnut Hill
1497	Boston Graduate School of Psychoanalysis	Brookline ...
35	Boston University	Boston ...
285	Bowdoin College	Brunswick
897	Bowie State University	Bowie
179	Bowling Green State University	Bowling Green ...
351	Bradley University	Peoria
152	Brandeis University	Waltham
832	Brandman University	Irvine
1480	Brazosport College	Lake Jackson
884	Brenau University	Gainesville
1455	Brescia University	Owensboro
970	Brevard College	Brevard
1629	Brewton-Parker College	Mount Vernon
1359	Briar Cliff University	Sioux City
758	Bridgewater College	Bridgewater
461	Bridgewater State University	Bridgewater
58	Brigham Young University	Provo
960	Brigham Young University-Hawaii	Laie
267	Brigham Young University-Idaho	Rexburg
1294	Brooklyn College	Brooklyn
1015	Brooklyn Law School	Brooklyn
408	Broward College	Fort Lauderdale
1474	Brown Mackie College	Salina ...
62	Brown University	Providence
1049	Bryan College	Dayton ...
1749	Bryan College of Health Sciences	Lincoln
1270	Bryant and Stratton College	Buffalo ...
783	Bryant University	Smithfield
1641	Bryn Athyn College	Bryn Athyn
256	Bryn Mawr College	Bryn Mawr
214	Bucknell University	Lewisburg
1074	Buena Vista University	Storm Lake
420	Buffalo State College	Buffalo
336	Butler University	Indianapolis
Un	Cabarrus College of Health Sciences	Concord
1257	Cabrini University	Radnor
1493	Cairn University	Langhorne ...
880	Caldwell University	Caldwell
732	California Baptist University	Riverside ...
663	California College of the Arts	San Francisco ...
767	California Institute of Integral Studies	San Francisco
57	California Institute of Technology	Pasadena
1615	California Institute of the Arts	Valencia
772	California Lutheran University	Thousand Oaks
135	California Polytechnic State University, San Luis Obispo	San Luis Obispo
196	California State Polytechnic University, Pomona	Pomona
692	California State University Channel Islands	Camarillo
1095	California State University Maritime Academy	Vallejo
367	California State University San Marcos	San Marcos ...
524	California State University, Bakersfield	Bakersfield
219	California State University, Chico	Chico
356	California State University, Dominguez Hills	Carson ...
407	California State University, East Bay	Hayward ...
335	California State University, Fresno	Fresno
120	California State University, Fullerton	Fullerton ...
158	California State University, Long Beach	Long Beach
224	California State University, Los Angeles	Los Angeles
624	California State University, Monterey Bay	Seaside
118	California State University, Northridge	Northridge
187	California State University, Sacramento	Sacramento
282	California State University, San Bernardino	San Bernardino ...
475	California State University, Stanislaus	Turlock ...
1234	California University of Pennsylvania	California
1233	California Western School of Law	San Diego
1534	Calumet College of St. Joseph	Whiting
1603	Calvary University	Kansas City
209	Calvin College	Grand Rapids
612	Cambridge College	Lawrence ...
782	Cameron University	Lawton ...
647	Campbell University	Buies Creek
996	Campbellsville University	Campbellsville
652	Canisius College	Buffalo
570	Capital University	Columbus
1258	Capitol Technology University	Laurel
1184	Cardinal Stritch University	Milwaukee
157	Carleton College	Northfield
1231	Carlow University	Pittsburgh
19	Carnegie Mellon University	Pittsburgh ...
704	Carroll College	Helena
815	Carroll University	Waukesha ...
650	Carson-Newman University	Jefferson City
484	Carthage College	Kenosha
122	Case Western Reserve University	Cleveland
1348	Castleton University	Castleton
